Cargo ID,Purchase Contract,Load Port,Max Load Volume (M3),Load Date,Discharge Name,Discharge Port,Discharge Date,Vessel Assignment,Sales Contract,Reposition Port,Reposition Date,Laden Canal,Ballast Canal,Buy %,Buy Index,Buy C,Buy Price,Sell %,Sell Index,Sell C,Sell Price,Expected Discharge Quantity,Load Region,Discharge Region,Load Deal Status,Discharge Deal Status,Laden Speed,Ballast Speed,Category,Load Notes,Discharge Notes,Carriage Type
Petronas FOB 2020-2024-10,Petronas FOB 2020-2024,Bintulu LNG Terminal,153320,15/08/2024,TAC Petronas FOB 2020-2024-10,Tokyo,27/08/2024,Charter Vessel (DFDE-155),TAC Pacific Sale,,,No,No,,,,,,,,,,South East Asia,Japan / Korea / China / Taiwan,Confirmed,Notional,9.711363636,,Longs against TAC Pacific,"Load Malaysia: Bintulu, Sarawak, Any floating LNG in Malaysia, Pengerang Regas Terminal.   Narrowed by BP at ADP to specific value (+-5%) within the following ranges:  Bintulu source 3.2 - 3.6Tbtu or 3.2 - 4.0Tbtu if Bintulu accepts a vessel > 156km3,  Malaysian FLNG source: 3.2 - 3.6Tbtu, Pengerang (RGT) source: 3.2 - 4.0Tbtu.    Price: 11.04% Ice Brent Frontline(3,1,1) for <160km3 cargoes loading from Bintulu; 11.24% Ice Brent Frontline(3,1,1) for any other source or volume.",,BP Delivered
Pavilion DES 2024-2033-08,TAC Pacific Purchase,Singapore,,15/08/2024,Pavilion DES 2024-2033-08,Singapore,15/08/2024,Ex Ship,Pavilion DES 2024-2033,Rotterdam,15/08/2024,,,,,,,,,,,,South East Asia,South East Asia,Notional,Confirmed,0,0,Shorts against TAC Pacific,,"Initial Titan wiring: TAC Pavilion DES 2024-2033-04, Port:  Titan Contract: Pavilion DES 2024-2033 Titan Index: Pavilion DES 2024-2033, Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 1.4",FOB Sale
Orsted 2020-2025-24,TAC Europe Purchase,Rotterdam,,15/08/2024,Orsted 2020-2025-24,Rotterdam,15/08/2024,Ex Ship,Orsted DES 2020-2025 (DB6),Krk Island,19/08/2024,,,,,,,,,,,,European Union,European Union,Notional,Confirmed,0,0,Shorts against TAC Europe,,"3.5Tbtu (3.4-3.6 +/-5% at Seller option).   Term: Oct 20 - Sep 25, 6 cargoes pa.   Cargoes in first contract year: 16-18 Oct 2020 / 15-17 Dec 2020 / Feb 21 / Apr 21 / Jun 21 / Aug 21; Cargoes in second contract year: Rateable starting Oct 21.   Ice TTF FS + 0.035 first three Contract Years (up to Sep 23);   10.60% DB6 for the first 3.23 Tbtu on cargoes from (including) October 23 - Sep 25 (Any quantity deliver above 3.23Tbtu will be at Ice TTF + 0.04).   Any GHV accepted.",DES Purchase
T4-334,T4 TRINIDAD,Point Fortin,170000,17/08/2024,TAC T4-334,TAC Europe,29/08/2024,Charter Vessel (DFDE-155),TAC Europe Sale,,,No,No,,,,,,,,,,South America,European Union,Confirmed,Notional,15.53787879,,Longs against TAC Europe,,,BP Delivered
Freeport -286,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",168064,17/08/2024,TAC Freeport -286,TAC Europe,30/08/2024,Charter Vessel (TFDE-165),TAC Europe Sale,,,No,No,,,,,,,,,,North America,European Union,Confirmed,Notional,18.44565217,,Longs against TAC Europe,,,BP Delivered
Oman 2022-2025-23,Oman 2022-2025,Qalhat LNG Terminal,0,19/08/2024,TAC Oman 2022-2025-23,TAC Middle East,01/09/2024,Charter Vessel (DFDE-155),TAC Middle East Sale,,,No,No,,,,,,,,,,India & Middle-East,India & Middle-East,Confirmed,Notional,2.735815351,,Longs against TAC Middle East,,,BP Delivered
PPD Mid Term 2020-32,TAC Atlantic Purchase,Krk Island,,19/08/2024,PPD Mid Term 2020-32,Krk Island,19/08/2024,Ex Ship,PPD Mid Term 2020,"Freeport LNG Terminal, Texas, U.S.A.",23/08/2024,,,,,,,,,,,,European Union,European Union,Notional,Confirmed,0,0,Shorts against TAC Atlantic,,,FOB Sale
Coral SPA-22,Coral Base Cargo,Pemba,168350,19/08/2024,,,,,,,,,,,,,,,,,,,Eastern Africa,,Unconfirmed,,,,Unconfirmed,,,BP Delivered
VG1-32,Spot Index,Sabine Pass LNG Terminal,170060,22/08/2024,,,,,,,,,,,,,,,,,,,North America,,Unconfirmed,,,,Unconfirmed,Sabine Pass used as proxy until Calcasieu port added + GHV attributed,,BP Delivered
Freeport -458,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",155113,23/08/2024,CNOOC FOB 2019-2039-12,"Freeport LNG Terminal, Texas, U.S.A.",23/08/2024,Ex Ship,CNOOC 2019-2039 FOB,Map Ta Phut,24/08/2024,,,,,,,,,,,,North America,North America,Confirmed,Confirmed,0,0,,,,DES Purchase
PTT-SPA-2018-104,TAC Pacific Purchase,Map Ta Phut,,24/08/2024,PTT-SPA-2018-104,Map Ta Phut,24/08/2024,Ex Ship,PTT,Tianjin Lingang,28/08/2024,,,,,,,,,,,,South East Asia,South East Asia,Notional,Confirmed,0,0,Shorts against TAC Pacific,,,FOB Sale
Tangguh SPA-54,Tangguh SPA,Tangguh,176940,27/08/2024,TAC Tangguh SPA-54,TAC Pacific,06/09/2024,Charter Vessel (TFDE-165),TAC Pacific Sale,,,No,No,,,,,,,,,,South East Asia,Japan / Korea / China / Taiwan,Confirmed,Notional,13.9212963,,Longs against TAC Pacific,,,BP Delivered
CNOOC 2019-2039-83,TAC Pacific Purchase,Tianjin Lingang,,28/08/2024,CNOOC 2019-2039-83,Tianjin Lingang,28/08/2024,Ex Ship,CNOOC 2019-2039,Joetsu,29/08/2024,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,,DES Purchase
Freeport -291,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",168064,29/08/2024,TAC Freeport -291,TAC Europe,11/09/2024,Charter Vessel (TFDE-165),TAC Europe Sale,,,No,No,,,,,,,,,,North America,European Union,Confirmed,Notional,18.44565217,,Longs against TAC Europe,,,BP Delivered
JERA (Chubu)-BPS SPA-59,TAC Pacific Purchase,Joetsu,,29/08/2024,JERA (Chubu)-BPS SPA-59,Joetsu,29/08/2024,Ex Ship,Chubu - NBP,TAC Pacific,01/09/2024,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,,FOB Sale
Coral SPA-23,Coral Base Cargo,Pemba,168350,30/08/2024,,,,,,,,,,,,,,,,,,,Eastern Africa,,Unconfirmed,,,,Unconfirmed,,,BP Delivered
T4-335,T4 TRINIDAD,Point Fortin,170000,01/09/2024,TAC T4-335,TAC Europe,13/09/2024,Charter Vessel (DFDE-155),TAC Europe Sale,,,No,No,,,,,,,,,,South America,European Union,Confirmed,Notional,15.53787879,,Longs against TAC Europe,,,BP Delivered
Mitsui Sakhalin Strip DES JKTC 2022-2024 -30,Mitsui Sakhalin Strip,TAC Pacific,,01/09/2024,TAC Mitsui Sakhalin Strip DES JKTC 2022-2024 -30,TAC Pacific,01/09/2024,Ex Ship,TAC Pacific Sale,Cochin,02/09/2024,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Notional,0,,Longs against TAC Pacific,"Initial Titan wiring: TAC Mitsui Sakhalin Strip DES JKTC 2022-2024 -23, Port: TAC Pacific Titan Contract: Mitsui Sakhalin Strip DES JKTC 2022-2024  Titan Index: ICE Brent Frontline (1,4,1) , Titan Constant: USD/MMBtu 0.05, Titan Multiplier: 0.1162",,DES Purchase
Qatargas 2022-2026-38,Qatargas 2022-2026,Ras Laffan (Rich),160444,01/09/2024,TAC Qatargas 2022-2026-38,Tokyo,20/09/2024,Maran Gas Alexandria,TAC Pacific Sale,"Freeport LNG Terminal, Texas, U.S.A.",03/11/2024,No,No,,,,,,,,,,India & Middle-East,Japan / Korea / China / Taiwan,Confirmed,Notional,15.21990741,15.57299419,Longs against TAC Pacific,"Initial Titan wiring: TAC Qatargas 2022-2026-30, Port: TAC Pacific Titan Contract: Qatargas 2022-2026 Titan Index: ICE Brent Frontline (3,1,1), Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 0.1013",,BP Delivered
Exxon SPA-40,TAC Middle East Purchase,Cochin,,02/09/2024,Exxon SPA-40,Cochin,02/09/2024,Ex Ship,Exxon SPA,Futtsu,04/09/2024,,,,,,,,,,,,India & Middle-East,India & Middle-East,Notional,Confirmed,0,0,Shorts against TAC Middle East,,,FOB Sale
OMAN FOB SPA-107,Oman FOB,Qalhat LNG Terminal,152000,03/09/2024,TAC OMAN FOB SPA-107,TAC Pacific,20/09/2024,Charter Vessel (DFDE-155),TAC Pacific Sale,,,No,No,,,,,,,,,,India & Middle-East,Japan / Korea / China / Taiwan,Confirmed,Notional,15.51302083,,Longs against TAC Pacific,,,BP Delivered
Freeport -292,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",168064,04/09/2024,TAC Freeport -292,TAC Europe,17/09/2024,Charter Vessel (TFDE-165),TAC Europe Sale,,,No,No,,,,,,,,,,North America,European Union,Confirmed,Notional,18.44565217,,Longs against TAC Europe,,,BP Delivered
JERA (TEPCO)-BPS SPA-106,TAC Pacific Purchase,Futtsu,,04/09/2024,JERA (TEPCO)-BPS SPA-106,Futtsu,04/09/2024,Ex Ship,TEPCO 2 (Apr '19 +) Rich,Sakai LNG,05/09/2024,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,,Shorts against TAC Pacific,,,DES Purchase
Kansai-BPS SPA 1-56,TAC Pacific Purchase,Sakai LNG,,05/09/2024,Kansai-BPS SPA 1-56,Sakai LNG,05/09/2024,Ex Ship,Kansai,Singapore,14/09/2024,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,,FOB Sale
VG1-33,Spot Index,Sabine Pass LNG Terminal,170060,05/09/2024,,,,,,,,,,,,,,,,,,,North America,,Unconfirmed,,,,Unconfirmed,Sabine Pass used as proxy until Calcasieu port added + GHV attributed,,BP Delivered
Freeport -293,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",168064,10/09/2024,TAC Freeport -293,TAC Europe,23/09/2024,Charter Vessel (DFDE-155),TAC Europe Sale,,,No,No,,,,,,,,,,North America,European Union,Confirmed,Notional,18.44565217,,Longs against TAC Europe,,,BP Delivered
Coral SPA-24,Coral Base Cargo,Pemba,168350,10/09/2024,,,,,,,,,,,,,,,,,,,Eastern Africa,,Unconfirmed,,,,Unconfirmed,,,BP Delivered
Tangguh SPA-55,Tangguh SPA,Tangguh,176940,13/09/2024,TAC Tangguh SPA-55,TAC Pacific,23/09/2024,Charter Vessel (TFDE-165),TAC Pacific Sale,,,No,No,,,,,,,,,,South East Asia,Japan / Korea / China / Taiwan,Confirmed,Notional,13.9212963,,Longs against TAC Pacific,,,BP Delivered
Pavilion SPA DES-08,TAC Pacific Purchase,Singapore,,14/09/2024,Pavilion SPA DES-08,Singapore,14/09/2024,Ex Ship,Pavilion SPA DES,Singapore,15/09/2024,,,,,,,,,,,,South East Asia,South East Asia,Notional,Confirmed,0,,Shorts against TAC Pacific,,,DES Purchase
Pavilion DES 2024-2033-09,TAC Pacific Purchase,Singapore,,15/09/2024,Pavilion DES 2024-2033-09,Singapore,15/09/2024,Ex Ship,Pavilion DES 2024-2033,Tokyo,15/09/2024,,,,,,,,,,,,South East Asia,South East Asia,Notional,Confirmed,0,0,Shorts against TAC Pacific,,"Initial Titan wiring: TAC Pavilion DES 2024-2033-04, Port:  Titan Contract: Pavilion DES 2024-2033 Titan Index: Pavilion DES 2024-2033, Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 1.5",FOB Sale
Petronas DES 2020-2024-29,Petronas DES 2020-2024,Tokyo,,15/09/2024,TAC Petronas DES 2020-2024-29,Tokyo,15/09/2024,Ex Ship,TAC Pacific Sale,Tianjin Lingang,21/09/2024,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Notional,0,0,Longs against TAC Pacific,"JKTC discharge option.   Japan/Taiwan GHV 1040-1150, Korea/China GHV 1000-1140.   Narrowed by Petronas at ADP to specific value (+-5%) within the following ranges - Non US cargoes: 3.30 - 3.55Tbtu, US cargoes: 3.70 - 3.80Tbtu",,DES Purchase
Freeport -294,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",168064,16/09/2024,TAC Freeport -294,TAC Europe,29/09/2024,Charter Vessel (DFDE-155),TAC Europe Sale,,,No,No,,,,,,,,,,North America,European Union,Confirmed,Notional,18.44565217,,Longs against TAC Europe,,,BP Delivered
T4-336,T4 TRINIDAD,Point Fortin,170000,16/09/2024,TAC T4-336,TAC Europe,28/09/2024,Charter Vessel (DFDE-155),TAC Europe Sale,,,No,No,,,,,,,,,,South America,European Union,Confirmed,Notional,15.53787879,,Longs against TAC Europe,,,BP Delivered
OMAN FOB SPA-108,Oman FOB,Qalhat LNG Terminal,152000,17/09/2024,TAC OMAN FOB SPA-108,TAC Pacific,04/10/2024,Charter Vessel (DFDE-155),TAC Pacific Sale,,,No,No,,,,,,,,,,India & Middle-East,Japan / Korea / China / Taiwan,Confirmed,Notional,15.51302083,,Longs against TAC Pacific,,,BP Delivered
VG1-34,Spot Index,Sabine Pass LNG Terminal,170060,18/09/2024,,,,,,,,,,,,,,,,,,,North America,,Unconfirmed,,,,Unconfirmed,Sabine Pass used as proxy until Calcasieu port added + GHV attributed,,BP Delivered
Qatargas 2022-2026-39,Qatargas 2022-2026,Ras Laffan (Rich),160444,20/09/2024,TAC Qatargas 2022-2026-39,Tokyo,09/10/2024,BW Pavilion Leeara,TAC Pacific Sale,"Freeport LNG Terminal, Texas, U.S.A.",09/11/2024,No,P,,,,,,,,,,India & Middle-East,Japan / Korea / China / Taiwan,Confirmed,Notional,15.21990741,12.98240503,Longs against TAC Pacific,"Initial Titan wiring: TAC Qatargas 2022-2026-30, Port: TAC Pacific Titan Contract: Qatargas 2022-2026 Titan Index: ICE Brent Frontline (3,1,1), Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 0.1014",,BP Delivered
CNOOC 2019-2039-84,TAC Pacific Purchase,Tianjin Lingang,,21/09/2024,CNOOC 2019-2039-84,Tianjin Lingang,21/09/2024,Ex Ship,CNOOC 2019-2039,Map Ta Phut,22/09/2024,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,,FOB Sale
Coral SPA-25,Coral Base Cargo,Pemba,168350,21/09/2024,,,,,,,,,,,,,,,,,,,Eastern Africa,,Unconfirmed,,,,Unconfirmed,,,BP Delivered
Freeport -295,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",168064,22/09/2024,TAC Freeport -295,TAC Europe,05/10/2024,Charter Vessel (DFDE-155),TAC Europe Sale,,,No,No,,,,,,,,,,North America,European Union,Confirmed,Notional,18.44565217,,Longs against TAC Europe,,,BP Delivered
PTT-SPA-2018-105,TAC Pacific Purchase,Map Ta Phut,,22/09/2024,PTT-SPA-2018-105,Map Ta Phut,22/09/2024,Ex Ship,PTT,Futtsu,27/09/2024,,,,,,,,,,,,South East Asia,South East Asia,Notional,Confirmed,0,0,Shorts against TAC Pacific,,,DES Purchase
NWS Equity -56,NWS Equity 2H,Withnell Bay,160000,27/09/2024,TAC NWS Equity -56,TAC Pacific,08/10/2024,Charter Vessel (DFDE-155),TAC Pacific Sale,,,No,No,,,,,,,,,,South East Asia,Japan / Korea / China / Taiwan,Confirmed,Notional,17.01754386,,Longs against TAC Pacific,,,BP Delivered
JERA (TEPCO)-BPS SPA-107,TAC Pacific Purchase,Futtsu,,27/09/2024,JERA (TEPCO)-BPS SPA-107,Futtsu,27/09/2024,Ex Ship,TEPCO 2 (Apr '19 +) Lean,Cochin,27/09/2024,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,,FOB Sale
Exxon SPA-41,TAC Middle East Purchase,Cochin,,27/09/2024,Exxon SPA-41,Cochin,27/09/2024,Ex Ship,Exxon SPA,Sakai LNG,28/09/2024,,,,,,,,,,,,India & Middle-East,India & Middle-East,Notional,Confirmed,0,0,Shorts against TAC Middle East,,,DES Purchase
Freeport -296,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",168064,28/09/2024,TAC Freeport -296,TAC Europe,11/10/2024,Charter Vessel (DFDE-155),TAC Europe Sale,,,No,No,,,,,,,,,,North America,European Union,Confirmed,Notional,18.44565217,,Longs against TAC Europe,,,BP Delivered
Kansai-BPS SPA 2-65,TAC Pacific Purchase,Sakai LNG,,28/09/2024,Kansai-BPS SPA 2-65,Sakai LNG,28/09/2024,Ex Ship,Kansai II,TAC Pacific,01/10/2024,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,,FOB Sale
Tangguh SPA-56,Tangguh SPA,Tangguh,176940,30/09/2024,TAC Tangguh SPA-56,TAC Pacific,10/10/2024,Charter Vessel (TFDE-165),TAC Pacific Sale,,,No,No,,,,,,,,,,South East Asia,Japan / Korea / China / Taiwan,Confirmed,Notional,13.9212963,,Longs against TAC Pacific,,,BP Delivered
T4-337,T4 TRINIDAD,Point Fortin,170000,01/10/2024,TAC T4-337,TAC Europe,13/10/2024,Charter Vessel (DFDE-155),TAC Europe Sale,,,No,S,,,,,,,,,,South America,European Union,Confirmed,Notional,15.53787879,,Longs against TAC Europe,,,BP Delivered
Mitsui Sakhalin Strip DES JKTC 2022-2024 -31,Mitsui Sakhalin Strip,TAC Pacific,,01/10/2024,TAC Mitsui Sakhalin Strip DES JKTC 2022-2024 -31,TAC Pacific,01/10/2024,Ex Ship,TAC Pacific Sale,Krk Island,04/10/2024,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Notional,0,0,Longs against TAC Pacific,"Initial Titan wiring: TAC Mitsui Sakhalin Strip DES JKTC 2022-2024 -23, Port: TAC Pacific Titan Contract: Mitsui Sakhalin Strip DES JKTC 2022-2024  Titan Index: ICE Brent Frontline (1,4,1) , Titan Constant: USD/MMBtu 0.05, Titan Multiplier: 0.1163",,DES Purchase
Oman 2022-2025-24,Oman 2022-2025,Qalhat LNG Terminal,0,02/10/2024,TAC Oman 2022-2025-24,TAC Middle East,15/10/2024,Charter Vessel (DFDE-155),TAC Middle East Sale,,,No,No,,,,,,,,,,India & Middle-East,India & Middle-East,Confirmed,Notional,2.735815351,,Longs against TAC Middle East,,,BP Delivered
Coral SPA-26,Coral Base Cargo,Pemba,168350,02/10/2024,,,,,,,,,,,,,,,,,,,Eastern Africa,,Unconfirmed,,,,Unconfirmed,,,BP Delivered
VG1-35,Spot Index,Sabine Pass LNG Terminal,170060,02/10/2024,,,,,,,,,,,,,,,,,,,North America,,Unconfirmed,,,,Unconfirmed,Sabine Pass used as proxy until Calcasieu port added + GHV attributed,,BP Delivered
Freeport -297,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",168064,04/10/2024,TAC Freeport -297,TAC Europe,17/10/2024,Charter Vessel (DFDE-155),TAC Europe Sale,,,No,No,,,,,,,,,,North America,European Union,Confirmed,Notional,18.44565217,,Longs against TAC Europe,,,BP Delivered
PPD Mid Term 2020-33,TAC Atlantic Purchase,Krk Island,,04/10/2024,PPD Mid Term 2020-33,Krk Island,04/10/2024,Ex Ship,PPD Mid Term 2020,Rotterdam,10/10/2024,,,,,,,,,,,,European Union,European Union,Notional,Confirmed,0,0,Shorts against TAC Atlantic,,,FOB Sale
Qatargas 2022-2026-40,Qatargas 2022-2026,Ras Laffan (Rich),160444,08/10/2024,TAC Qatargas 2022-2026-40,Tokyo,27/10/2024,Charter Vessel (TFDE-165),TAC Pacific Sale,,,No,P,,,,,,,,,,India & Middle-East,Japan / Korea / China / Taiwan,Confirmed,Notional,15.21990741,,Longs against TAC Pacific,"Initial Titan wiring: TAC Qatargas 2022-2026-30, Port: TAC Pacific Titan Contract: Qatargas 2022-2026 Titan Index: ICE Brent Frontline (3,1,1), Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 0.1015",,BP Delivered
Freeport -298,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",168064,10/10/2024,TAC Freeport -298,TAC Europe,23/10/2024,Charter Vessel (DFDE-155),TAC Europe Sale,,,No,No,,,,,,,,,,North America,European Union,Confirmed,Notional,18.44565217,,Longs against TAC Europe,,,BP Delivered
Uniper Strip 2023-2024-11,TAC Europe Purchase,Rotterdam,,10/10/2024,Uniper Strip 2023-2024-11,Rotterdam,10/10/2024,Ex Ship,Uniper Strip 2023-2024,Singapore,15/10/2024,,,,,,,,,,,,European Union,European Union,Notional,Confirmed,0,0,Shorts against TAC Europe,,"Initial Titan wiring: TAC Uniper Strip 2023-2024-08, Port:  Titan Contract: Uniper Strip 2023-2024 Titan Index: ICE Brent Frontline (3,1,1), Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 0.1000",DES Purchase
Coral SPA-27,Coral Base Cargo,Pemba,168350,13/10/2024,,,,,,,,,,,,,,,,,,,Eastern Africa,,Unconfirmed,,,,Unconfirmed,,,BP Delivered
Pavilion DES 2024-2033-10,TAC Pacific Purchase,Singapore,,15/10/2024,Pavilion DES 2024-2033-10,Singapore,15/10/2024,Ex Ship,Pavilion DES 2024-2033,Tianjin Lingang,15/10/2024,,,,,,,,,,,,South East Asia,South East Asia,Notional,Confirmed,0,0,Shorts against TAC Pacific,,"Initial Titan wiring: TAC Pavilion DES 2024-2033-04, Port:  Titan Contract: Pavilion DES 2024-2033 Titan Index: Pavilion DES 2024-2033, Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 1.6",FOB Sale
CNOOC 2019-2039-85,TAC Pacific Purchase,Tianjin Lingang,,15/10/2024,CNOOC 2019-2039-85,Tianjin Lingang,15/10/2024,Ex Ship,CNOOC 2019-2039,Rotterdam,15/10/2024,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,,DES Purchase
Orsted 2020-2025-25,TAC Europe Purchase,Rotterdam,,15/10/2024,Orsted 2020-2025-25,Rotterdam,15/10/2024,Ex Ship,Orsted DES 2020-2025 (DB6),"Freeport LNG Terminal, Texas, U.S.A.",16/10/2024,,,,,,,,,,,,European Union,European Union,Notional,Confirmed,0,0,Shorts against TAC Europe,,"3.5Tbtu (3.4-3.6 +/-5% at Seller option).   Term: Oct 20 - Sep 25, 6 cargoes pa.   Cargoes in first contract year: 16-18 Oct 2020 / 15-17 Dec 2020 / Feb 21 / Apr 21 / Jun 21 / Aug 21; Cargoes in second contract year: Rateable starting Oct 21.   Ice TTF FS + 0.035 first three Contract Years (up to Sep 23);   10.60% DB6 for the first 3.23 Tbtu on cargoes from (including) October 23 - Sep 25 (Any quantity deliver above 3.23Tbtu will be at Ice TTF + 0.04).   Any GHV accepted.",FOB Sale
VG1-36,Spot Index,Sabine Pass LNG Terminal,170060,15/10/2024,,,,,,,,,,,,,,,,,,,North America,,Unconfirmed,,,,Unconfirmed,Sabine Pass used as proxy until Calcasieu port added + GHV attributed,,BP Delivered
Tangguh SPA-57,Tangguh SPA,Tangguh,176940,16/10/2024,TAC Tangguh SPA-57,TAC Pacific,26/10/2024,Charter Vessel (TFDE-165),TAC Pacific Sale,,,No,No,,,,,,,,,,South East Asia,Japan / Korea / China / Taiwan,Confirmed,Notional,13.9212963,,Longs against TAC Pacific,,,BP Delivered
Freeport -299,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",155113,16/10/2024,CNOOC FOB 2019-2039-13,"Freeport LNG Terminal, Texas, U.S.A.",16/10/2024,Ex Ship,CNOOC 2019-2039 FOB,Futtsu,19/10/2024,,,,,,,,,,,,North America,North America,Confirmed,Confirmed,0,0,,,,DES Purchase
T4-338,T4 TRINIDAD,Point Fortin,170000,17/10/2024,TAC T4-338,TAC Europe,29/10/2024,Charter Vessel (DFDE-155),TAC Europe Sale,,,No,S,,,,,,,,,,South America,European Union,Confirmed,Notional,15.53787879,,Longs against TAC Europe,,,BP Delivered
OMAN FOB SPA-109,Oman FOB,Qalhat LNG Terminal,152000,17/10/2024,TAC OMAN FOB SPA-109,TAC Pacific,03/11/2024,Charter Vessel (DFDE-155),TAC Pacific Sale,,,No,No,,,,,,,,,,India & Middle-East,Japan / Korea / China / Taiwan,Confirmed,Notional,15.51302083,,Longs against TAC Pacific,,,BP Delivered
JERA (TEPCO)-BPS SPA-108,TAC Pacific Purchase,Futtsu,,19/10/2024,JERA (TEPCO)-BPS SPA-108,Futtsu,19/10/2024,Ex Ship,TEPCO 2 (Apr '19 +) Rich,Sakai LNG,20/10/2024,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,,Shorts against TAC Pacific,,,FOB Sale
Kansai-BPS SPA 1-57,TAC Pacific Purchase,Sakai LNG,,20/10/2024,Kansai-BPS SPA 1-57,Sakai LNG,20/10/2024,Ex Ship,Kansai,Joetsu,20/10/2024,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,,DES Purchase
JERA (Chubu)-BPS SPA-60,TAC Pacific Purchase,Joetsu,,20/10/2024,JERA (Chubu)-BPS SPA-60,Joetsu,20/10/2024,Ex Ship,Chubu - NBP,Map Ta Phut,21/10/2024,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,,FOB Sale
PTT-SPA-2018-106,TAC Pacific Purchase,Map Ta Phut,,21/10/2024,PTT-SPA-2018-106,Map Ta Phut,21/10/2024,Ex Ship,PTT,Cochin,22/10/2024,,,,,,,,,,,,South East Asia,South East Asia,Notional,Confirmed,0,0,Shorts against TAC Pacific,,,DES Purchase
Freeport -300,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",168064,22/10/2024,TAC Freeport -300,TAC Europe,04/11/2024,Charter Vessel (TFDE-165),TAC Europe Sale,,,No,No,,,,,,,,,,North America,European Union,Confirmed,Notional,18.44565217,,Longs against TAC Europe,,,BP Delivered
Exxon SPA-42,TAC Middle East Purchase,Cochin,,22/10/2024,Exxon SPA-42,Cochin,22/10/2024,Ex Ship,Exxon SPA,TAC Pacific,01/11/2024,,,,,,,,,,,,India & Middle-East,India & Middle-East,Notional,Confirmed,0,0,Shorts against TAC Middle East,,,FOB Sale
Coral SPA-28,Coral Base Cargo,Pemba,168350,24/10/2024,,,,,,,,,,,,,,,,,,,Eastern Africa,,Unconfirmed,,,,Unconfirmed,,,BP Delivered
Freeport -301,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",168064,28/10/2024,TAC Freeport -301,TAC Europe,10/11/2024,Charter Vessel (DFDE-155),TAC Europe Sale,,,No,No,,,,,,,,,,North America,European Union,Confirmed,Notional,18.44565217,,Longs against TAC Europe,,,BP Delivered
VG1-37,Spot Index,Sabine Pass LNG Terminal,170060,29/10/2024,,,,,,,,,,,,,,,,,,,North America,,Unconfirmed,,,,Unconfirmed,Sabine Pass used as proxy until Calcasieu port added + GHV attributed,,BP Delivered
OMAN FOB SPA-110,Oman FOB,Qalhat LNG Terminal,152000,31/10/2024,TAC OMAN FOB SPA-110,TAC Pacific,17/11/2024,Charter Vessel (DFDE-155),TAC Pacific Sale,,,No,No,,,,,,,,,,India & Middle-East,Japan / Korea / China / Taiwan,Confirmed,Notional,15.51302083,,Longs against TAC Pacific,,,BP Delivered
